wall_s,step,updates,sps,reward,done_rate,clear_rate,n_clear,n_death,n_timeout,n_ep_window
118.4,186368,91,1754,0.1762,0.8906,1.0000,916,0,0,916
119.6,188416,92,1680,0.1763,0.8906,1.0000,921,0,0,921
120.7,190464,93,1899,0.1637,0.8281,1.0000,923,0,0,923
122.0,192512,94,1611,0.1638,0.8281,1.0000,918,0,0,918
123.3,194560,95,1597,0.1590,0.7969,1.0000,906,0,0,906
124.5,196608,96,1620,0.1718,0.8750,1.0000,903,0,0,903
125.7,198656,97,1697,0.1499,0.7500,1.0000,903,0,0,903
127.0,200704,98,1618,0.1630,0.8281,1.0000,905,0,0,905
128.3,202752,99,1639,0.1627,0.8281,1.0000,901,0,0,901
129.5,204800,100,1690,0.1583,0.7969,1.0000,890,0,0,890
130.7,206848,101,1641,0.1613,0.8125,1.0000,893,0,0,893
131.9,208896,102,1679,0.1478,0.7344,1.0000,882,0,0,882
133.0,210944,103,1865,0.1743,0.8906,1.0000,883,0,0,883
134.2,212992,104,1740,0.1510,0.7500,1.0000,868,0,0,868
135.5,215040,105,1618,0.1664,0.8438,1.0000,865,0,0,865
136.8,217088,106,1582,0.1663,0.8438,1.0000,858,0,0,858
138.0,219136,107,1630,0.1628,0.8125,1.0000,852,0,0,852
139.3,221184,108,1578,0.1684,0.8594,1.0000,848,0,0,848
140.6,223232,109,1630,0.1636,0.8281,1.0000,837,0,0,837
141.8,225280,110,1661,0.1544,0.7656,1.0000,835,0,0,835
143.0,227328,111,1695,0.1715,0.8750,1.0000,841,0,0,841
144.3,229376,112,1613,0.1563,0.7812,1.0000,842,0,0,842
145.5,231424,113,1641,0.1716,0.8750,1.0000,842,0,0,842
146.7,233472,114,1801,0.1705,0.8594,1.0000,850,0,0,850
147.9,235520,115,1616,0.1618,0.8125,1.0000,852,0,0,852
149.2,237568,116,1689,0.1696,0.8594,1.0000,853,0,0,853
150.4,239616,117,1619,0.1584,0.7969,1.0000,854,0,0,854
151.6,241664,118,1688,0.1694,0.8594,1.0000,857,0,0,857
152.9,243712,119,1651,0.1604,0.7969,1.0000,848,0,0,848
154.1,245760,120,1645,0.1682,0.8438,1.0000,852,0,0,852
155.4,247808,121,1548,0.1742,0.8906,1.0000,855,0,0,855
156.5,249856,122,2043,0.1578,0.7812,1.0000,861,0,0,861
157.7,251904,123,1658,0.1748,0.8906,1.0000,867,0,0,867
158.9,253952,124,1681,0.1648,0.8281,1.0000,868,0,0,868
160.0,256000,125,1809,0.1743,0.8750,1.0000,879,0,0,879
161.2,258048,126,1744,0.1568,0.7812,1.0000,877,0,0,877
